Curso,Media,NumEncuestas,Centro,Titulacion.x,Cod_Centro,Cod_Titulacion,Titulacion.y,Tasa_Rendimiento,Alumnos_Egresados,Matriculados_Rendimiento,Tasa_Abandono,Alumnos_Abandonan,Matriculados_Abandono
2017_2018,4.05,659,Escuela Politécnica Superior,Grado en Ingeniería Eléctrica,23,200,Grado en Ingeniería Eléctrica,0.4730960264900662,6858,14496,0.29545454545454547,39,132
2017_2018,4.02,1359,Escuela Politécnica Superior,Grado en Ingeniería Electrónica Industrial,23,201,Grado en Ingeniería Electrónica Industrial,0.4673699705593719,11430,24456,0.4043715846994536,74,183
2017_2018,3.78,1736,Escuela Politécnica Superior,"Grado en Ingeniería en Diseño Industrial
y Desarrollo del Producto",23,202,Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto,0.5867914532933074,19938,33978,0.3006993006993007,43,143
2017_2018,3.95,1204,Escuela Politécnica Superior,Grado en Ingeniería Mecánica,23,207,Grado en Ingeniería Mecánica,0.5207003089598352,15168,29130,0.22167487684729065,45,203
2017_2018,4.11,800,Escuela Politécnica Superior,Grado en Ingeniería Química Industrial,23,209,Grado en Ingeniería Química Industrial,0.4168627450980392,6378,15300,0.2833333333333333,34,120
2017_2018,4.05,2101,E.T.S. de Ingeniería,Grado en Ingeniería Aeroespacial,45,197,Grado en Ingeniería Aeroespacial,0.6626472349770414,24894,37567,0.16296296296296298,22,135
2017_2018,3.88,1081,E.T.S. de Ingeniería,Grado en Ingeniería Civil,45,225,Grado en Ingeniería Civil,0.5045458895588094,7908,15673,0.2911392405063291,23,79
2017_2018,4.03,3291,E.T.S. de Ingeniería,"Grado en Ingeniería de las Tecnologías de
Telecomunicación",45,199,Grado en Ingeniería de las Tecnologías de Telecomunicación,0.573162583518931,23161,40410,0.34972677595628415,64,183
2017_2018,4.07,4380,E.T.S. de Ingeniería,Grado en Ingeniería de Tecnologías Indus-triales,45,203,Grado en Ingeniería de Tecnologías Industriales,0.6320618821161473,48046,76015,0.16549295774647887,47,284
2017_2018,3.99,1484,E.T.S. de Ingeniería,"Grado en Ingeniería Electrónica, Robótica
y Mecatrónica (UMA-US)",45,228,"Grado en Ingeniería Electrónica, Robótica y Mecatrónica (UMA-US)",0.6695598740302635,13075,19528,0.22058823529411764,15,68
2017_2018,3.95,1539,E.T.S. de Ingeniería,Grado en Ingeniería Química,45,208,Grado en Ingeniería Química,0.5431195643339023,10023,18454,0.35714285714285715,30,84
2017_2018,4.23,987,E.T.S. Ingeniería Informática,Grado en Ingeniería Informática-Inge-niería de Computadores,3,204,Grado en Ingeniería Informática-Ingeniería de Computadores,0.4619321817018554,8664,18756,0.6715328467153284,92,137
2017_2018,4.12,3851,E.T.S. Ingeniería Informática,Grado en Ingeniería Informática-Inge-niería del Software,3,205,Grado en Ingeniería Informática-Ingeniería del Software,0.6711046390680258,38712,57684,0.32926829268292684,81,246
2017_2018,4.17,1711,E.T.S. Ingeniería Informática,Grado en Ingeniería Informática-Tecnolo-gías Informáticas,3,206,Grado en Ingeniería Informática-Tecnologías Informáticas,0.5435598948554262,17370,31956,0.581151832460733,111,191
2017_2018,4.27,2536,Facultad de Bellas Artes,Grado en Bellas Artes,21,190,Grado en Bellas Artes,0.8694584837545126,36126,41550,0.14444444444444443,26,180
2017_2018,4.17,705,Facultad de Bellas Artes,"Grado en Conservación y Restauración de
Bienes Culturales",21,193,Grado en Conservación y Restauración de Bienes Culturales,0.820137299771167,10752,13110,0.27419354838709675,17,62
2017_2018,4.34,6202,Facultad de Biología,Grado en Biología,5,153,Grado en Biología,0.7683500306685749,45096,58692,0.15,33,220
2017_2018,4.18,4359,Facultad de CC. Económ. y Em-presariales,"Grado en Administración y Dirección de
Empresas",1,151,Grado en Administración y Dirección de Empresas,0.5526591289782244,63348,114624,0.311284046692607,160,514
2017_2018,4.04,1656,Facultad de CC. Económ. y Em-presariales,Grado en Economía,1,156,Grado en Economía,0.5821819914244879,21996,37782,0.3263888888888889,47,144
2017_2018,4.05,1392,Facultad de CC. Económ. y Em-presariales,"Grado en Marketing e Investigación de
Mercados",1,180,Grado en Marketing e Investigación de Mercados,0.6892633228840125,21108,30624,0.3106060606060606,41,132
2017_2018,4.13,1563,Facultad de Ciencias de la Edu-cación,"Grado en Ciencias de la Actividad Física y
del Deporte",18,154,Grado en Ciencias de la Actividad Física y del Deporte,0.892202659001078,14898,16698,0.07936507936507936,5,63
2017_2018,4.32,2180,Facultad de Ciencias de la Edu-cación,Grado en Educación Infantil,18,194,Grado en Educación Infantil,0.9620758483033932,38560,40080,0.07142857142857142,17,238
2017_2018,4.12,8358,Facultad de Ciencias de la Edu-cación,Grado en Educación Primaria,18,195,Grado en Educación Primaria,0.8640737724660786,113004,130780,0.13070866141732285,83,635
2017_2018,4.2,2036,Facultad de Ciencias de la Edu-cación,Grado en Pedagogía,18,174,Grado en Pedagogía,0.911967418546366,34932,38304,0.14285714285714285,30,210
2017_2018,4.04,1800,Facultad de Ciencias del Trabajo,Grado en Relaciones Laborales y Recur-sos Humanos,8,178,Grado en Relaciones Laborales y Recursos Humanos,0.6581993569131833,36846,55980,0.20087336244541484,46,229
