Cod_Centro,Cod_Titulacion,Titulacion,Año,Tasa_Rendimiento,Todo_aprobado_Rendimiento,Matriculados_Rendimiento,Tasa_Abandono,Alumnos_Abandonan,Matriculados_Abandono
1,151,Grado en Administración y Dirección de Empresas,2017_2018,0.5526591289782244,63348,114624,0.311284046692607,160,514
1,151,Grado en Administración y Dirección de Empresas,2018_2019,0.5704945692291469,64920,113796,0.3652694610778443,183,501
1,151,Grado en Administración y Dirección de Empresas,2019_2020,0.6848913704461275,74334,108534,0.37067209775967414,182,491
1,151,Grado en Administración y Dirección de Empresas,2020_2021,0.5790202342917998,65244,112680,0.38742393509127787,191,493
1,151,Grado en Administración y Dirección de Empresas,2021_2022,0.5328775172266439,59856,112326,0.374749498997996,187,499
1,151,Grado en Administración y Dirección de Empresas,2022_2023,0.5468067401705846,63084,115368,0.4065040650406504,200,492
1,151,Grado en Administración y Dirección de Empresas,2023_2024,0.5859557999796313,69042,117828,0.37916666666666665,182,480
5,153,Grado en Biología,2017_2018,0.7683500306685749,45096,58692,0.15,33,220
5,153,Grado en Biología,2018_2019,0.7514696276943175,41418,55116,0.16517857142857142,37,224
5,153,Grado en Biología,2019_2020,0.8025889967637541,43152,53766,0.17452830188679244,37,212
5,153,Grado en Biología,2020_2021,0.7578363698087587,40182,53022,0.19597989949748743,39,199
5,153,Grado en Biología,2021_2022,0.7305172010297215,37458,51276,0.0845771144278607,17,201
5,153,Grado en Biología,2022_2023,0.7554479418886199,39312,52038,0.18536585365853658,38,205
5,153,Grado en Biología,2023_2024,0.7615784237868907,41340,54282,0.1407766990291262,29,206
18,154,Grado en Ciencias de la Actividad Física y del Deporte,2017_2018,0.892202659001078,14898,16698,0.07936507936507936,5,63
18,154,Grado en Ciencias de la Actividad Física y del Deporte,2018_2019,0.8574429771908764,17142,19992,0.10344827586206896,6,58
18,154,Grado en Ciencias de la Actividad Física y del Deporte,2019_2020,0.9125805547772485,19542,21414,0.10294117647058823,7,68
18,154,Grado en Ciencias de la Actividad Física y del Deporte,2020_2021,0.8751545117428925,21240,24270,0.07894736842105263,6,76
18,154,Grado en Ciencias de la Actividad Física y del Deporte,2021_2022,0.8728833770569998,21960,25158,0.08943089430894309,11,123
18,154,Grado en Ciencias de la Actividad Física y del Deporte,2022_2023,0.8740359897172236,22440,25674,0.15079365079365079,19,126
18,154,Grado en Ciencias de la Actividad Física y del Deporte,2023_2024,0.882940108892922,17514,19836,0.1322314049586777,16,121
20,155,Grado en Derecho,2017_2018,0.7153030874282602,102450,143226,0.15717092337917485,80,509
20,155,Grado en Derecho,2018_2019,0.7078918133652368,99405,140424,0.11023622047244094,56,508
20,155,Grado en Derecho,2019_2020,0.8145335021209497,110028,135081,0.1611785095320624,93,577
20,155,Grado en Derecho,2020_2021,0.7265823348625896,97875,134706,0.14414414414414414,80,555
20,155,Grado en Derecho,2021_2022,0.674574852409904,91869,136188,0.14466546112115733,80,553
20,155,Grado en Derecho,2022_2023,0.6963706429209031,95955,137793,0.15976331360946747,81,507
20,155,Grado en Derecho,2023_2024,0.7095234053388787,100311,141378,0.14481409001956946,74,511
1,156,Grado en Economía,2017_2018,0.5821819914244879,21996,37782,0.3263888888888889,47,144
1,156,Grado en Economía,2018_2019,0.5543583145706015,20682,37308,0.3333333333333333,50,150
1,156,Grado en Economía,2019_2020,0.6781259993604093,25446,37524,0.3170731707317073,52,164
1,156,Grado en Economía,2020_2021,0.6218247407184728,24822,39918,0.391025641025641,61,156
1,156,Grado en Economía,2021_2022,0.5472289499928765,23046,42114,0.28402366863905326,48,169
1,156,Grado en Economía,2022_2023,0.6145203111495247,25596,41652,0.27439024390243905,45,164
1,156,Grado en Economía,2023_2024,0.6374530753681779,26490,41556,0.31097560975609756,51,164
11,157,Grado en Enfermería,2017_2018,0.8592270854215391,46290,53874,0.19246861924686193,46,239
11,157,Grado en Enfermería,2018_2019,0.8521706385496799,47523,55767,0.204,51,250
11,157,Grado en Enfermería,2019_2020,0.801463811330984,44349,55335,0.2145748987854251,53,247
11,157,Grado en Enfermería,2020_2021,0.8990805957309532,50166,55797,0.2550607287449393,63,247
11,157,Grado en Enfermería,2021_2022,0.8797112219980889,49716,56514,0.17716535433070865,45,254
11,157,Grado en Enfermería,2022_2023,0.8763095114614666,50691,57846,0.24621212121212122,65,264
11,157,Grado en Enfermería,2023_2024,0.8818432623502026,61371,69594,0.21722846441947566,58,267
16,159,Grado en Filología Hispánica,2017_2018,0.6483471912390996,19182,29586,0.24545454545454545,27,110
16,159,Grado en Filología Hispánica,2018_2019,0.592934564431955,17724,29892,0.35833333333333334,43,120
16,159,Grado en Filología Hispánica,2019_2020,0.7291242362525459,21480,29460,0.3028169014084507,43,142
16,159,Grado en Filología Hispánica,2020_2021,0.6052784785561809,18714,30918,0.3828125,49,128
16,159,Grado en Filología Hispánica,2021_2022,0.5575966322234979,17484,31356,0.29457364341085274,38,129
16,159,Grado en Filología Hispánica,2022_2023,0.6077545642763034,19374,31878,0.3884297520661157,47,121
16,159,Grado en Filología Hispánica,2023_2024,0.6416217221498978,20700,32262,0.2878787878787879,38,132
12,160,Grado en Filosofía,2017_2018,0.6508058326937836,10176,15636,0.45054945054945056,41,91
12,160,Grado en Filosofía,2018_2019,0.7112647417649451,10494,14754,0.35,28,80
12,160,Grado en Filosofía,2019_2020,0.7766837337534462,11832,15234,0.3013698630136986,22,73
12,160,Grado en Filosofía,2020_2021,0.7273726639794796,11910,16374,0.22388059701492538,15,67
12,160,Grado en Filosofía,2021_2022,0.7303578015492438,11880,16266,0.4153846153846154,27,65
12,160,Grado en Filosofía,2022_2023,0.7166666666666667,516,720,0.39436619718309857,28,71
12,160,Grado en Filosofía,2023_2024,0.4,96,240,0.9620253164556962,76,79
7,161,Grado en Finanzas y Contabilidad,2017_2018,0.5098748075249381,45696,89622,0.44776119402985076,210,469
7,161,Grado en Finanzas y Contabilidad,2018_2019,0.5070960305453498,42234,83286,0.45098039215686275,207,459
7,161,Grado en Finanzas y Contabilidad,2019_2020,0.5617323337055352,42258,75228,0.4731934731934732,203,429
7,161,Grado en Finanzas y Contabilidad,2020_2021,0.4859290054365206,36468,75048,0.5121359223300971,211,412
7,161,Grado en Finanzas y Contabilidad,2021_2022,0.43134704495569465,31836,73806,0.5037783375314862,200,397
7,161,Grado en Finanzas y Contabilidad,2022_2023,0.4465180577155694,31008,69444,0.5511363636363636,194,352
7,161,Grado en Finanzas y Contabilidad,2023_2024,0.48017278617710585,33348,69450,0.5125786163522013,163,318
6,162,Grado en Física,2017_2018,0.634215258155664,14814,23358,0.32673267326732675,33,101
