"Cod_Centro","Cod_Titulacion","Titulacion","Año","Tasa_Rendimiento","Alumnos_Egresados","Matriculados_Rendimiento","Tasa_Abandono","Alumnos_Abandonan","Matriculados_Abandono"
1,"151","Grado en Administración y Dirección de Empresas","2022_2023",0.546806740170585,63084,115368,0.40650406504065,200,492
5,"153","Grado en Biología","2022_2023",0.75544794188862,39312,52038,0.185365853658537,38,205
18,"154","Grado en Ciencias de la Actividad Física y del Deporte","2022_2023",0.874035989717224,22440,25674,0.150793650793651,19,126
20,"155","Grado en Derecho","2022_2023",0.696370642920903,95955,137793,0.159763313609467,81,507
1,"156","Grado en Economía","2022_2023",0.614520311149525,25596,41652,0.274390243902439,45,164
11,"157","Grado en Enfermería","2022_2023",0.876309511461467,50691,57846,0.246212121212121,65,264
16,"159","Grado en Filología Hispánica","2022_2023",0.607754564276303,19374,31878,0.388429752066116,47,121
12,"160","Grado en Filosofía","2022_2023",0.716666666666667,516,720,0.394366197183099,28,71
7,"161","Grado en Finanzas y Contabilidad","2022_2023",0.446518057715569,31008,69444,0.551136363636364,194,352
6,"162","Grado en Física","2022_2023",0.631762652705061,15204,24066,0.215686274509804,22,102
11,"163","Grado en Fisioterapia","2022_2023",0.853407981919975,16615,19469,0.34,34,100
4,"164","Grado en Geografía y Gestión del Territorio","2022_2023",0.658952496954933,6492,9852,0.354838709677419,11,31
4,"166","Grado en Historia","2022_2023",0.641567963902989,27300,42552,0.261363636363636,46,176
4,"167","Grado en Historia del Arte","2022_2023",0.556513409961686,20916,37584,0.397727272727273,70,176
17,"171","Grado en Matemáticas","2022_2023",0.666411277965063,26094,39156,0.217741935483871,27,124
18,"174","Grado en Pedagogía","2022_2023",0.8984375,30360,33792,0.150326797385621,23,153
11,"175","Grado en Podología","2022_2023",0.774407976734524,11184,14442,0.366197183098592,26,71
13,"176","Grado en Psicología","2022_2023",0.857430269775949,56256,65610,0.103571428571429,29,280
22,"177","Grado en Química","2022_2023",0.599053551205307,22216,37086,0.297101449275362,41,138
8,"178","Grado en Relaciones Laborales y Recursos Humanos","2022_2023",0.606095883162239,34362,56694,0.253275109170306,58,229
7,"179","Grado en Turismo","2022_2023",0.604051565377532,31488,52128,0.355072463768116,98,276
1,"180","Grado en Marketing e Investigación de Mercados","2022_2023",0.765406427221172,24294,31740,0.206106870229008,27,131
16,"181","Grado en Estudios Árabes e Islámicos","2022_2023",0.682572614107884,1974,2892,0.476190476190476,10,21
16,"182","Grado en Estudios Franceses","2022_2023",0.598496240601504,7164,11970,0.411764705882353,28,68
16,"183","Grado en Estudios Ingleses","2022_2023",0.695957820738137,26136,37554,0.180645161290323,28,155
16,"184","Grado en Filología Clásica","2022_2023",0.690685413005272,4716,6828,0.676470588235294,23,34
16,"185","Grado en Lengua y Literatura Alemanas","2022_2023",0.648550724637681,2148,3312,0.5,23,46
4,"188","Grado en Antropología Social y Cultural","2022_2023",0.610878661087866,3504,5736,0.566666666666667,34,60
21,"190","Grado en Bellas Artes","2022_2023",0.872400475341652,35238,40392,0.213114754098361,39,183
2,"192","Grado en Comunicación Audiovisual","2022_2023",0.878749433620299,29091,33105,0.161073825503356,24,149
21,"193","Grado en Conservación y Restauración de Bienes Culturales","2022_2023",0.85177766649975,10206,11982,0.354838709677419,22,62
