"Cod_Titulacion","Titulacion","Rama_Conocimiento"
"151","Grado en Administración y Dirección de Empresas","Ciencias Sociales y Jurídicas"
"153","Grado en Biología","Ciencias"
"154","Grado en Ciencias de la Actividad Física y del Deporte","Ciencias Sociales y Jurídicas"
"155","Grado en Derecho","Ciencias Sociales y Jurídicas"
"156","Grado en Economía","Ciencias Sociales y Jurídicas"
"157","Grado en Enfermería","Ciencias de la Salud"
"159","Grado en Filología Hispánica","Artes y Humanidades"
"160","Grado en Filosofía","Artes y Humanidades"
"161","Grado en Finanzas y Contabilidad","Ciencias Sociales y Jurídicas"
"162","Grado en Física","Ciencias"
"163","Grado en Fisioterapia","Ciencias de la Salud"
"164","Grado en Geografía y Gestión del Territorio","Artes y Humanidades"
"166","Grado en Historia","Artes y Humanidades"
"167","Grado en Historia del Arte","Artes y Humanidades"
"171","Grado en Matemáticas","Ciencias"
"174","Grado en Pedagogía","Ciencias Sociales y Jurídicas"
"175","Grado en Podología","Ciencias de la Salud"
"176","Grado en Psicología","Ciencias de la Salud"
"177","Grado en Química","Ciencias"
"178","Grado en Relaciones Laborales y Recursos Humanos","Ciencias Sociales y Jurídicas"
"179","Grado en Turismo","Ciencias Sociales y Jurídicas"
"180","Grado en Marketing e Investigación de Mercados","Ciencias Sociales y Jurídicas"
"181","Grado en Estudios Árabes e Islámicos","Artes y Humanidades"
"182","Grado en Estudios Franceses","Artes y Humanidades"
"183","Grado en Estudios Ingleses","Artes y Humanidades"
"184","Grado en Filología Clásica","Artes y Humanidades"
"185","Grado en Lengua y Literatura Alemanas","Artes y Humanidades"
"188","Grado en Antropología Social y Cultural","Ciencias Sociales y Jurídicas"
"190","Grado en Bellas Artes","Artes y Humanidades"
"192","Grado en Comunicación Audiovisual","Ciencias Sociales y Jurídicas"
"193","Grado en Conservación y Restauración de Bienes Culturales","Artes y Humanidades"
"194","Grado en Educación Infantil","Ciencias Sociales y Jurídicas"
"195","Grado en Educación Primaria","Ciencias Sociales y Jurídicas"
"197","Grado en Ingeniería Aeroespacial","Ingeniería y Arquitectura"
"199","Grado en Ingeniería de las Tecnologías de Telecomunicación","Ingeniería y Arquitectura"
"200","Grado en Ingeniería Eléctrica","Ingeniería y Arquitectura"
"201","Grado en Ingeniería Electrónica Industrial","Ingeniería y Arquitectura"
"202","Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto","Ingeniería y Arquitectura"
"203","Grado en Ingeniería de Tecnologías Industriales","Ingeniería y Arquitectura"
"204","Grado en Ingeniería Informática-Ingeniería de Computadores","Ingeniería y Arquitectura"
"205","Grado en Ingeniería Informática-Ingeniería del Software","Ingeniería y Arquitectura"
"206","Grado en Ingeniería Informática-Tecnologías Informáticas","Ingeniería y Arquitectura"
"207","Grado en Ingeniería Mecánica","Ingeniería y Arquitectura"
"208","Grado en Ingeniería Química","Ingeniería y Arquitectura"
"209","Grado en Ingeniería Química Industrial","Ingeniería y Arquitectura"
"210","Grado en Periodismo","Ciencias Sociales y Jurídicas"
"211","Grado en Publicidad y Relaciones Públicas","Ciencias Sociales y Jurídicas"
"217","Grado en Biomedicina Básica y Experimental","Ciencias de la Salud"
"218","Grado en Criminología","Ciencias Sociales y Jurídicas"
"219","Grado en Estudios de Asia Oriental por la US y UMA","Artes y Humanidades"
"221","Grado en Ingeniería de la Energía por la US y UMA","Ingeniería y Arquitectura"
"222","Grado en Ingeniería de Materiales","Ingeniería y Arquitectura"
"223","Grado en Óptica y Optometría","Ciencias de la Salud"
"224","Grado en Bioquímica por la US y UMA","Ciencias"
"225","Grado en Ingeniería Civil","Ingeniería y Arquitectura"
"226","Grado en Ingeniería de la Salud por la UMA y US","Ingeniería y Arquitectura"
"227","Grado en Ingeniería de Organización Industrial por la UMA y US","Ingeniería y Arquitectura"
"228","Grado en Ingeniería Electrónica, Robótica y Mecatrónica (UMA-US)","Ingeniería y Arquitectura"
"M036","Máster Universitario en Comunicación y Cultura","Ciencias Sociales y Jurídicas"
"M037","Máster Universitario en Artes del Espectáculo Vivo","Artes y Humanidades"
"M039","Máster Universitario en Estudios de Género y Desarrollo Profesional","Ciencias Sociales y Jurídicas"
"M040","Máster Universitario en Peritación y Reparación de Edificios","Ingeniería y Arquitectura"
"M044","Máster Univers. en Profesorado de E.S.O y Bachillerato, FP y E.Idiomas","Ciencias Sociales y Jurídicas"
"M050","Máster Universitario en Arqueología por la U.de Sevilla y U.de Granada","Artes y Humanidades"
"M052","Máster Universitario en Arte: Idea y Producción","Artes y Humanidades"
"M056","Máster Universitario en Ciencia y Tecnología de Nuevos Materiales","Ciencias"
"M061","Máster Universitario en Derecho Constitucional","Ciencias Sociales y Jurídicas"
"M063","Máster Universitario en Dirección y Planificación del Turismo","Ciencias Sociales y Jurídicas"
"M064","Máster Unv. en Dirección, Evaluación y Calidad de las Instituc. de For","Ciencias Sociales y Jurídicas"
"M067","Máster Universitario en Documentos y Libros. Archivos y Bibliotecas","Artes y Humanidades"
"M068","Máster Universitario en Economía y Desarrollo","Ciencias Sociales y Jurídicas"
"M070","M.U.en Enseñanza del Español como Lengua Extranjera y Otras Leng.Mod.","Artes y Humanidades"
"M071","Máster Universitario en Escritura Creativa","Artes y Humanidades"
"M075","Máster Universitario en Estudios Avanzados en Química","Ciencias"
"M076","Máster Universitario en Estudios Hispánicos Superiores","Artes y Humanidades"
"M082","Máster Universitario en Física Nuclear por la UAM,UCM,UB,UGR,USAL y la US","Ciencias"
"M085","Máster Universitario en Gestión Estratégica y Negocios Internacionales","Ciencias Sociales y Jurídicas"
"M086","Máster Universitario en Gestión Integral de la Edificación","Ingeniería y Arquitectura"
"M095","Máster Universitario en Lógica, Computación e Inteligencia Artificial","Ingeniería y Arquitectura"
"M099","Máster Unv. en Microelectrónica: Diseño y Aplicaciones de Sistemas","Ingeniería y Arquitectura"
"M100","Máster Univ.en Nuevas Tendencias Asistenciales en CC. de la Salud","Ciencias de la Salud"
"M103","Máster Unv.en Patrimonio Artístico Andaluz y su Proyección Iberoamericana","Artes y Humanidades"
"M105","M.U. en Psicología de la Intervención Social y Comunitaria","Ciencias de la Salud"
"M106","Máster Universitario en Relaciones Jurídico-Privadas","Ciencias Sociales y Jurídicas"
"M107","Máster Universitario en Seguridad Integral en Edificación","Ingeniería y Arquitectura"
"M108","M.U.en Seguridad Integral en la Industria y Prevención Riesgos Laborales","Ingeniería y Arquitectura"
"M114","Máster Universitario en Comunicación Institucional y Política","Ciencias Sociales y Jurídicas"
"M115","Máster Universitario en Filosofía y Cultura Moderna","Artes y Humanidades"
"M117","M.U. en Antropología: Gestión de la Diversidad Cultural, el Pat.y el Des.","Ciencias Sociales y Jurídicas"
"M121","Máster Universitario en Estudios Americanos","Artes y Humanidades"
"M123","Máster Universitario en Asesoría Jurídico-Mercantil, Fiscal y Laboral","Ciencias Sociales y Jurídicas"
"M125","Máster Universitario en Consultoría Laboral","Ciencias Sociales y Jurídicas"
"M127","Máster Unv. en Investigación Médica: Clínica y Experimental","Ciencias de la Salud"
"M133","M.U. en Migraciones Internacionales, Salud y Bienestar: Modelos y Estrategias de Intervención","Ciencias Sociales y Jurídicas"
"M134","Máster Universitario en Especialización Profesional en Farmacia","Ciencias de la Salud"
"M135","Máster Universitario en Estudios Históricos Avanzados","Artes y Humanidades"
"M136","Máster Universitario en Biología Avanzada: Investigación y Aplicación","Ciencias"
"M137","Máster Universitario en Estudios Lingüísticos, Literarios y Culturales","Artes y Humanidades"
"M138","Máster Universitario en Psicopedagogía","Ciencias Sociales y Jurídicas"
"M153","Máster Universitario en Arquitectura","Ingeniería y Arquitectura"
"M155","Máster Universitario en Diseño Avanzado en Ingeniería Mecánica","Ingeniería y Arquitectura"
"M156","Máster Universitario en Formación y Orientación para el Trabajo","Ciencias Sociales y Jurídicas"
"M158","Máster Unv. en Gestión del Territorio. Instrumentos y Técnicas de Intervenc","Ciencias Sociales y Jurídicas"
"M162","Máster Universitario en Matemáticas","Ciencias"
"M163","Máster Universitario en Organización Industrial y Gestión de Empresas","Ingeniería y Arquitectura"
"M164","Máster Universitario en Sistemas de Energía Eléctrica","Ingeniería y Arquitectura"
"M165","Máster Universitario en Sistemas de Energía Térmica","Ingeniería y Arquitectura"
"M166","Máster Universitario en Ciudad y Arquitectura Sostenibles","Ingeniería y Arquitectura"
