Centro,Titulación,Hombre,Mujer,Total
F. DE BELLAS ARTES,Grado en Bellas Artes,228,577,805
F. DE BELLAS ARTES,Grado en Conservación y Restauración de Bienes Culturales,87,157,244
F. DE BELLAS ARTES,Total,315,734,1049
F. DE BIOLOGÍA,Grado en Biología,385,582,967
F. DE BIOLOGÍA,Grado en Bioquímica,70,163,233
F. DE BIOLOGÍA,Total,455,745,1200
F. DE CIENCIAS DE LA EDUCACIÓN,Grado en Ciencias de la Actividad Física y del Deporte,373,123,496
F. DE CIENCIAS DE LA EDUCACIÓN,Grado en Educación Infantil,21,683,704
F. DE CIENCIAS DE LA EDUCACIÓN,Grado en Educación Primaria,545,1667,2212
F. DE CIENCIAS DE LA EDUCACIÓN,Grado en Pedagogía,64,534,598
F. DE CIENCIAS DE LA EDUCACIÓN,Doble Grado en Educación Infantil y en Educación Primaria,2,30,32
F. DE CIENCIAS DE LA EDUCACIÓN,Total,1005,3037,4042
F. DE CIENCIAS DEL TRABAJO,Grado en Relaciones Laborales y Recursos Humanos,398,669,1067
F. DE CIENCIAS DEL TRABAJO,Doble Grado en Finanzas y Contabilidad y en Relaciones Laborales y Recursos Humanos,41,71,112
F. DE CIENCIAS DEL TRABAJO,Total,439,740,1179
F. DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,Grado en Administración y Dirección de Empresas,1196,982,2178
F. DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,Grado en Economía,392,386,778
F. DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,Grado en Marketing e Investigación de Mercado,193,367,560
F. DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,Doble Grado en Administración y Dirección de Empresas y en Derecho,188,284,472
F. DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,Doble Grado en Derecho y en Economía,68,77,145
F. DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,Total,2037,2096,4133
F. DE COMUNICACIÓN,Grado en Comunicación Audiovisual,242,348,590
F. DE COMUNICACIÓN,Grado en Periodismo,607,638,1245
F. DE COMUNICACIÓN,Grado en Publicidad y Relaciones Públicas,123,518,641
F. DE COMUNICACIÓN,Doble Grado en Periodismo y en Comunicación Audiovisual,27,60,87
F. DE COMUNICACIÓN,Total,999,1564,2563
F. DE DERECHO,Grado en Criminología,78,177,255
