"Centro","Titulación","Hombre","Mujer","Total"
"F. DE BELLAS ARTES","Grado en Bellas Artes",228,577,805
"F. DE BELLAS ARTES","Grado en Conservación y Restauración de Bienes Culturales",87,157,244
"F. DE BIOLOGÍA","Grado en Biología",385,582,967
"F. DE CIENCIAS DE LA EDUCACIÓN","Grado en Ciencias de la Actividad Física y del Deporte",373,123,496
"F. DE CIENCIAS DE LA EDUCACIÓN","Grado en Educación Infantil",21,683,704
"F. DE CIENCIAS DE LA EDUCACIÓN","Grado en Educación Primaria",545,1667,2212
"F. DE CIENCIAS DE LA EDUCACIÓN","Grado en Pedagogía",64,534,598
"F. DE CIENCIAS DEL TRABAJO","Grado en Relaciones Laborales y Recursos Humanos",398,669,1067
"F. DE CIENCIAS ECONÓMICAS Y EMPRESARIALES","Grado en Administración y Dirección de Empresas",1196,982,2178
"F. DE CIENCIAS ECONÓMICAS Y EMPRESARIALES","Grado en Economía",392,386,778
"F. DE COMUNICACIÓN","Grado en Comunicación Audiovisual",242,348,590
"F. DE COMUNICACIÓN","Grado en Periodismo",607,638,1245
"F. DE COMUNICACIÓN","Grado en Publicidad y Relaciones Públicas",123,518,641
"F. DE DERECHO","Grado en Criminología",78,177,255
"F. DE DERECHO","Grado en Derecho",923,1572,2495
"F. DE ENFERMERÍA FISIOTERAPIA Y PODOLOGÍA","Grado en Enfermería",211,946,1157
"F. DE ENFERMERÍA FISIOTERAPIA Y PODOLOGÍA","Grado en Fisioterapia",177,180,357
"F. DE ENFERMERÍA FISIOTERAPIA Y PODOLOGÍA","Grado en Podología",51,205,256
"F. DE FARMACIA","Grado en Óptica y Optometría",47,167,214
"F. DE FILOLOGÍA","Grado en Estudios Árabes e Islámicos",18,36,54
"F. DE FILOLOGÍA","Grado en Estudios Franceses",47,183,230
"F. DE FILOLOGÍA","Grado en Estudios Ingleses",166,567,733
"F. DE FILOLOGÍA","Grado en Filología Clásica",33,102,135
"F. DE FILOLOGÍA","Grado en Filología Hispánica",137,467,604
"F. DE FILOLOGÍA","Grado en Lengua y Literatura Alemanas",20,47,67
"F. DE FILOSOFÍA","Grado en Filosofía",189,126,315
"F. DE FÍSICA","Grado en Física",333,115,448
"F. DE FÍSICA","Grado en Ingeniería de Materiales",104,45,149
"F. DE GEOGRAFÍA E HISTORIA","Grado en Antropología Social y Cultural",29,57,86
"F. DE GEOGRAFÍA E HISTORIA","Grado en Geografía y Gestión del Territorio",128,44,172
"F. DE GEOGRAFÍA E HISTORIA","Grado en Historia",509,297,806
"F. DE GEOGRAFÍA E HISTORIA","Grado en Historia del Arte",244,485,729
"F. DE MATEMÁTICAS","Grado en Matemáticas",424,310,734
"F. DE MEDICINA","Grado en Biomedicina Básica y Experimental",51,134,185
"F. DE PSICOLOGÍA","Grado en Psicología",187,998,1185
"F. DE QUÍMICA","Grado en Química",264,401,665
"F. DE TURISMO Y FINANZAS","Grado en Finanzas y Contabilidad",791,583,1374
"F. DE TURISMO Y FINANZAS","Grado en Turismo",307,614,921
"E.T.S. DE INGENIERÍA","Grado en Ingeniería Aeroespacial",513,204,717
"E.T.S. DE INGENIERÍA","Grado en Ingeniería Civil",216,96,312
"E.T.S. DE INGENIERÍA","Grado en Ingeniería de Tecnologías Industriales",1086,388,1474
"E.T.S. DE INGENIERÍA","Grado en Ingeniería Química",163,146,309
"E. POLITÉCNICA SUPERIOR","Grado en Ingeniería Eléctrica",257,46,303
"E. POLITÉCNICA SUPERIOR","Grado en Ingeniería Electrónica Industrial",418,76,494
"E. POLITÉCNICA SUPERIOR","Grado en Ingeniería Mecánica",549,71,620
"E. POLITÉCNICA SUPERIOR","Grado en Ingeniería Química Industrial",145,137,282
"CENTRO DE ESTUDIOS UNIVERSITARIOS CARDENAL SPÍNOLA","Grado en Educación Infantil",16,291,307
"CENTRO DE ESTUDIOS UNIVERSITARIOS CARDENAL SPÍNOLA","Grado en Educación Primaria",165,333,498
"CENTRO DE ESTUDIOS UNIVERSITARIOS CARDENAL SPÍNOLA","Grado en Ciencias de la Actividad Física y del Deporte",310,55,365
"CENTRO DE ESTUDIOS UNIVERSITARIOS CARDENAL SPÍNOLA","Grado en Derecho",78,90,168
"CENTRO UNIVERSITARIO DE OSUNA","Grado en Administración y Dirección de Empresas",18,10,28
"CENTRO UNIVERSITARIO DE OSUNA","Grado en Ciencias de la Actividad Física y del Deporte",248,54,302
"CENTRO UNIVERSITARIO DE OSUNA","Grado en Educación Infantil",26,207,233
"CENTRO UNIVERSITARIO DE OSUNA","Grado en Educación Primaria",121,168,289
"CENTRO UNIVERSITARIO DE OSUNA","Grado en Enfermería",43,255,298
"CENTRO UNIVERSITARIO DE OSUNA","Grado en Finanzas y Contabilidad",37,40,77
"CENTRO UNIVERSITARIO DE OSUNA","Grado en Fisioterapia",141,150,291
"CENTRO UNIVERSITARIO DE OSUNA","Grado en Relaciones Laborales y Recursos Humanos",11,31,42
"CENTRO DE ENFERMERÍA CRUZ ROJA","Grado en Enfermería",47,223,270
"CENTRO DE ENFERMERÍA SAN JUAN DE DIOS","Grado en Enfermería",25,140,165
"CENTRO UNIVERSITARIO EUSA","Grado en Comunicación Audiovisual",84,58,142
"CENTRO UNIVERSITARIO EUSA","Grado en Periodismo",66,47,113
"CENTRO UNIVERSITARIO EUSA","Grado en Publicidad y Relaciones Públicas",71,197,268
"CENTRO UNIVERSITARIO EUSA","Grado en Turismo",10,13,23
