Rama de enseñanza,Titulación,Hombre,Mujer,Total
ARTES Y HUMANIDADES,Grado en Arqueología,71,90,161
ARTES Y HUMANIDADES,Grado en Bellas Artes,228,577,805
ARTES Y HUMANIDADES,Grado en Conservación y Restauración de Bienes Culturales,87,157,244
ARTES Y HUMANIDADES,Grado en Estudios Árabes e Islámicos,18,36,54
ARTES Y HUMANIDADES,Grado en Estudios de Asia Oriental,66,200,266
ARTES Y HUMANIDADES,Grado en Estudios Franceses,47,183,230
ARTES Y HUMANIDADES,Grado en Estudios Ingleses,166,567,733
ARTES Y HUMANIDADES,Grado en Filología Clásica,33,102,135
ARTES Y HUMANIDADES,Grado en Filología Hispánica,137,467,604
ARTES Y HUMANIDADES,Grado en Filosofía,189,126,315
ARTES Y HUMANIDADES,Grado en Historia,509,297,806
ARTES Y HUMANIDADES,Grado en Historia del Arte,244,485,729
ARTES Y HUMANIDADES,Grado en Lengua y Literatura Alemanas,20,47,67
ARTES Y HUMANIDADES,Doble Grado en Educación Primaria y en Estudios Franceses,3,71,74
ARTES Y HUMANIDADES,Doble Grado en Filología Clásica y en Filología Hispánica,18,73,91
ARTES Y HUMANIDADES,Doble Grado en Lengua y Literatura Alemanas y en Educ. Primaria,14,43,57
CIENCIAS DE LA SALUD,Grado en Biomedicina Básica y Experimental,51,134,185
CIENCIAS DE LA SALUD,Grado en Enfermería,211,946,1157
CIENCIAS DE LA SALUD,Grado en Farmacia,52,99,151
CIENCIAS DE LA SALUD,Grado en Farmacia (2019),370,1073,1443
CIENCIAS DE LA SALUD,Grado en Fisioterapia,177,180,357
CIENCIAS DE LA SALUD,Grado en Medicina,575,1251,1826
CIENCIAS DE LA SALUD,Grado en Odontología,108,355,463
CIENCIAS DE LA SALUD,Grado en Óptica y Optometría,47,167,214
CIENCIAS DE LA SALUD,Grado en Podología,51,205,256
CIENCIAS DE LA SALUD,Grado en Psicología,187,998,1185
CIENCIAS DE LA SALUD,Doble Grado en Farmacia y en Óptica y Optometría,7,8,15
CIENCIAS DE LA SALUD,Doble Grado en Farmacia y en Óptica y Optometría (2019),24,65,89
CIENCIAS DE LA SALUD,Doble Grado en Fisioterapia y en CC. de la Actividad Física y Deporte,38,18,56
CIENCIAS,Grado en Biología,385,582,967
CIENCIAS,Grado en Bioquímica,70,163,233
CIENCIAS,Grado en Estadística,73,90,163
CIENCIAS,Grado en Física,333,115,448
CIENCIAS,Grado en Matemáticas,424,310,734
CIENCIAS,Grado en Química,264,401,665
CIENCIAS,Doble Grado en Física y en Ingeniería de Materiales,66,27,93
CIENCIAS,Doble Grado en Física y en Matemáticas,80,26,106
CIENCIAS,Doble Grado en Ing. Agrícola (USE) y en CC. Ambientales (UPO),40,39,79
CIENCIAS,Doble Grado en Ing. Informática - Tecnologías Informáticas y en Matemáticas,86,22,108
CIENCIAS,Doble Grado en Matemáticas y en Estadística,84,61,145
CIENCIAS,Doble Grado en Química y en Ingeniería de Materiales,49,28,77
CIENCIAS SOCIALES Y JURÍDICAS,Grado en Administración y Dirección de Empresas,1196,982,2178
CIENCIAS SOCIALES Y JURÍDICAS,Grado en Antropología Social y Cultural,29,57,86
CIENCIAS SOCIALES Y JURÍDICAS,Grado en Antropología Social y Cultural (2021),44,54,98
CIENCIAS SOCIALES Y JURÍDICAS,Grado en Ciencias de la Actividad Física y del Deporte,373,123,496
CIENCIAS SOCIALES Y JURÍDICAS,Grado en Comunicación Audiovisual,242,348,590
CIENCIAS SOCIALES Y JURÍDICAS,Grado en Criminología,78,177,255
CIENCIAS SOCIALES Y JURÍDICAS,Grado en Derecho,923,1572,2495
CIENCIAS SOCIALES Y JURÍDICAS,Grado en Economía,392,386,778
CIENCIAS SOCIALES Y JURÍDICAS,Grado en Educación Infantil,21,683,704
CIENCIAS SOCIALES Y JURÍDICAS,Grado en Educación Primaria,545,1667,2212
CIENCIAS SOCIALES Y JURÍDICAS,Grado en Finanzas y Contabilidad,791,583,1374
CIENCIAS SOCIALES Y JURÍDICAS,Grado en Geografía y Gestión del Territorio,128,44,172
