"Rama de enseñanza","Titulación","Hombre","Mujer","Total"
"ARTES Y HUMANIDADES","Grado en Bellas Artes","228",577,805
"ARTES Y HUMANIDADES","Grado en Conservación y Restauración de Bienes Culturales","87",157,244
"ARTES Y HUMANIDADES","Grado en Estudios Árabes e Islámicos","18",36,54
"ARTES Y HUMANIDADES","Grado en Estudios Franceses","47",183,230
"ARTES Y HUMANIDADES","Grado en Estudios Ingleses","166",567,733
"ARTES Y HUMANIDADES","Grado en Filología Clásica","33",102,135
"ARTES Y HUMANIDADES","Grado en Filología Hispánica","137",467,604
"ARTES Y HUMANIDADES","Grado en Filosofía","189",126,315
"ARTES Y HUMANIDADES","Grado en Historia","509",297,806
"ARTES Y HUMANIDADES","Grado en Historia del Arte","244",485,729
"ARTES Y HUMANIDADES","Grado en Lengua y Literatura Alemanas","20",47,67
"CIENCIAS DE LA SALUD","Grado en Biomedicina Básica y Experimental","51",134,185
"CIENCIAS DE LA SALUD","Grado en Enfermería","211",946,1157
"CIENCIAS DE LA SALUD","Grado en Fisioterapia","177",180,357
"CIENCIAS DE LA SALUD","Grado en Óptica y Optometría","47",167,214
"CIENCIAS DE LA SALUD","Grado en Podología","51",205,256
"CIENCIAS DE LA SALUD","Grado en Psicología","187",998,1185
"CIENCIAS","Grado en Biología","385",582,967
"CIENCIAS","Grado en Física","333",115,448
"CIENCIAS","Grado en Matemáticas","424",310,734
"CIENCIAS","Grado en Química","264",401,665
"CIENCIAS SOCIALES Y JURÍDICAS","Grado en Administración y Dirección de Empresas","1196",982,2178
"CIENCIAS SOCIALES Y JURÍDICAS","Grado en Antropología Social y Cultural","29",57,86
"CIENCIAS SOCIALES Y JURÍDICAS","Grado en Ciencias de la Actividad Física y del Deporte","373",123,496
"CIENCIAS SOCIALES Y JURÍDICAS","Grado en Comunicación Audiovisual","242",348,590
"CIENCIAS SOCIALES Y JURÍDICAS","Grado en Criminología","78",177,255
"CIENCIAS SOCIALES Y JURÍDICAS","Grado en Derecho","923",1572,2495
"CIENCIAS SOCIALES Y JURÍDICAS","Grado en Economía","392",386,778
"CIENCIAS SOCIALES Y JURÍDICAS","Grado en Educación Infantil","21",683,704
"CIENCIAS SOCIALES Y JURÍDICAS","Grado en Educación Primaria","545",1667,2212
"CIENCIAS SOCIALES Y JURÍDICAS","Grado en Finanzas y Contabilidad","791",583,1374
"CIENCIAS SOCIALES Y JURÍDICAS","Grado en Geografía y Gestión del Territorio","128",44,172
"CIENCIAS SOCIALES Y JURÍDICAS","Grado en Pedagogía","64",534,598
"CIENCIAS SOCIALES Y JURÍDICAS","Grado en Periodismo","607",638,1245
"CIENCIAS SOCIALES Y JURÍDICAS","Grado en Publicidad y Relaciones Públicas","123",518,641
"CIENCIAS SOCIALES Y JURÍDICAS","Grado en Relaciones Laborales y Recursos Humanos","398",669,1067
"CIENCIAS SOCIALES Y JURÍDICAS","Grado en Turismo","307",614,921
"INGENIERÍA Y ARQUITECTURA","Grado en Ingeniería Aeroespacial","513",204,717
"INGENIERÍA Y ARQUITECTURA","Grado en Ingeniería Civil","216",96,312
"INGENIERÍA Y ARQUITECTURA","Grado en Ingeniería de las Tecnologías de Telecomunicación","556",131,687
"INGENIERÍA Y ARQUITECTURA","Grado en Ingeniería de Materiales","104",45,149
"INGENIERÍA Y ARQUITECTURA","Grado en Ingeniería de Tecnologías Industriales","1086",388,1474
"INGENIERÍA Y ARQUITECTURA","Grado en Ingeniería Eléctrica","257",46,303
"INGENIERÍA Y ARQUITECTURA","Grado en Ingeniería Electrónica Industrial","418",76,494
"INGENIERÍA Y ARQUITECTURA","Grado en Ingeniería Mecánica","549",71,620
"INGENIERÍA Y ARQUITECTURA","Grado en Ingeniería Química","163",146,309
"INGENIERÍA Y ARQUITECTURA","Grado en Ingeniería Química Industrial","145",137,282
